phase,cell,cell_type,model,metric,value,note,n_recordings,n_mice
B,low_gamma_theta,ratio,random_forest,roc_auc,0.2942307692307692,,33,17
B,low_gamma_theta,ratio,random_forest,accuracy,0.42424242424242425,,33,17
B,low_gamma_theta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.40220602943733325,,33,17
B,low_gamma_theta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.16417910447761194,,33,17
B,high_gamma_theta,ratio,svm_rbf,balanced_accuracy,0.7442307692307693,,33,17
B,high_gamma_theta,ratio,svm_rbf,roc_auc,0.8538461538461538,,33,17
B,high_gamma_theta,ratio,svm_rbf,accuracy,0.7878787878787878,,33,17
B,high_gamma_theta,ratio,random_forest,balanced_accuracy,0.2519230769230769,,33,17
B,high_gamma_theta,ratio,random_forest,roc_auc,0.16153846153846152,,33,17
B,high_gamma_theta,ratio,random_forest,accuracy,0.2727272727272727,,33,17
B,high_gamma_theta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.4056651323882143,,33,17
B,high_gamma_theta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.029850746268656716,,33,17
B,fast_gamma_theta,ratio,svm_rbf,balanced_accuracy,0.6826923076923077,,33,17
B,fast_gamma_theta,ratio,svm_rbf,roc_auc,0.7346153846153846,,33,17
B,fast_gamma_theta,ratio,svm_rbf,accuracy,0.696969696969697,,33,17
B,fast_gamma_theta,ratio,random_forest,balanced_accuracy,0.22692307692307692,,33,17
B,fast_gamma_theta,ratio,random_forest,roc_auc,0.1653846153846154,,33,17
B,fast_gamma_theta,ratio,random_forest,accuracy,0.24242424242424243,,33,17
B,fast_gamma_theta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.3968571196936766,,33,17
B,fast_gamma_theta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.04477611940298507,,33,17
B,low_gamma_beta,ratio,svm_rbf,balanced_accuracy,0.3884615384615384,,33,17
B,low_gamma_beta,ratio,svm_rbf,roc_auc,0.16923076923076918,,33,17
B,low_gamma_beta,ratio,svm_rbf,accuracy,0.45454545454545453,,33,17
B,low_gamma_beta,ratio,random_forest,balanced_accuracy,0.4557692307692308,,33,17
B,low_gamma_beta,ratio,random_forest,roc_auc,0.4115384615384616,,33,17
B,low_gamma_beta,ratio,random_forest,accuracy,0.45454545454545453,,33,17
B,low_gamma_beta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.41786626499052465,,33,17
B,low_gamma_beta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.6368159203980099,,33,17
B,high_gamma_beta,ratio,svm_rbf,balanced_accuracy,0.26346153846153847,,33,17
B,high_gamma_beta,ratio,svm_rbf,roc_auc,0.1,,33,17
B,high_gamma_beta,ratio,svm_rbf,accuracy,0.30303030303030304,,33,17
B,high_gamma_beta,ratio,random_forest,balanced_accuracy,0.40192307692307694,,33,17
B,high_gamma_beta,ratio,random_forest,roc_auc,0.30769230769230765,,33,17
B,high_gamma_beta,ratio,random_forest,accuracy,0.45454545454545453,,33,17
B,high_gamma_beta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.4014487409869561,,33,17
B,high_gamma_beta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.8706467661691543,,33,17
B,fast_gamma_beta,ratio,svm_rbf,balanced_accuracy,0.6461538461538461,,33,17
B,fast_gamma_beta,ratio,svm_rbf,roc_auc,0.6442307692307693,,33,17
B,fast_gamma_beta,ratio,svm_rbf,accuracy,0.6363636363636364,,33,17
B,fast_gamma_beta,ratio,random_forest,balanced_accuracy,0.5173076923076924,,33,17
B,fast_gamma_beta,ratio,random_forest,roc_auc,0.3903846153846154,,33,17
B,fast_gamma_beta,ratio,random_forest,accuracy,0.5454545454545454,,33,17
B,fast_gamma_beta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.41477593636322097,,33,17
B,fast_gamma_beta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.09950248756218906,,33,17
B,high_gamma_low_gamma,ratio,svm_rbf,balanced_accuracy,0.31346153846153846,,33,17
B,high_gamma_low_gamma,ratio,svm_rbf,roc_auc,0.14615384615384613,,33,17
B,high_gamma_low_gamma,ratio,svm_rbf,accuracy,0.36363636363636365,,33,17
B,high_gamma_low_gamma,ratio,random_forest,balanced_accuracy,0.5307692307692308,,33,17
B,high_gamma_low_gamma,ratio,random_forest,roc_auc,0.5442307692307693,,33,17
B,high_gamma_low_gamma,ratio,random_forest,accuracy,0.5454545454545454,,33,17
B,high_gamma_low_gamma,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.4086776972667444,,33,17
B,high_gamma_low_gamma,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.8109452736318408,,33,17
B,fast_gamma_low_gamma,ratio,svm_rbf,balanced_accuracy,0.35192307692307695,,33,17
B,fast_gamma_low_gamma,ratio,svm_rbf,roc_auc,0.22307692307692306,,33,17
B,fast_gamma_low_gamma,ratio,svm_rbf,accuracy,0.3939393939393939,,33,17
B,fast_gamma_low_gamma,ratio,random_forest,balanced_accuracy,0.3269230769230769,,33,17
B,fast_gamma_low_gamma,ratio,random_forest,roc_auc,0.17884615384615385,,33,17
