phase,cell,cell_type,model,boot_mean,boot_median,boot_ci_lo,boot_ci_hi,n_valid_iters,n_skipped_iters,n_recordings,n_mice,note
C,fast_gamma_delta,ratio,random_forest,0.49253627827571483,0.5,0.2,0.8571428571428572,923,77,26,14,
C,beta_theta,ratio,svm_rbf,0.39979818216717783,0.4,0.1,0.7090773809523809,916,84,26,14,
C,beta_theta,ratio,random_forest,0.4332612181001919,0.4375,0.10972222222222222,0.75,916,84,26,14,
C,low_gamma_theta,ratio,svm_rbf,0.4325396627182342,0.4285714285714286,0.08333333333333333,0.7838888888888884,910,90,26,14,
C,low_gamma_theta,ratio,random_forest,0.385785940250226,0.375,0.1,0.7,910,90,26,14,
C,high_gamma_theta,ratio,svm_rbf,0.5141466854282442,0.5238095238095238,0.08333333333333333,0.875,911,89,26,14,
C,high_gamma_theta,ratio,random_forest,0.44436603767009913,0.4583333333333333,0.1412337662337662,0.75,911,89,26,14,
C,fast_gamma_theta,ratio,svm_rbf,0.4881228977320182,0.5,0.1,0.8333333333333333,921,79,26,14,
C,fast_gamma_theta,ratio,random_forest,0.4797779175222172,0.5,0.16666666666666666,0.8125,921,79,26,14,
C,low_gamma_beta,ratio,svm_rbf,0.4720154231481092,0.5,0.14285714285714285,0.8333333333333333,927,73,26,14,
C,low_gamma_beta,ratio,random_forest,0.5020905410063986,0.5,0.15,0.8333333333333333,927,73,26,14,
C,high_gamma_beta,ratio,svm_rbf,0.4638033687623852,0.5,0.125,0.8125,915,85,26,14,
C,high_gamma_beta,ratio,random_forest,0.4001579689284607,0.41666666666666663,0.125,0.6839583333333332,915,85,26,14,
C,fast_gamma_beta,ratio,svm_rbf,0.466213415708503,0.48065476190476186,0.1111111111111111,0.8333333333333333,916,84,26,14,
C,fast_gamma_beta,ratio,random_forest,0.5688424112277823,0.5416666666666666,0.3,0.9166666666666667,916,84,26,14,
C,high_gamma_low_gamma,ratio,svm_rbf,0.4287848187848187,0.4444444444444444,0.10111111111111114,0.75,925,75,26,14,
C,high_gamma_low_gamma,ratio,random_forest,0.4957751317751318,0.5,0.20892857142857144,0.85,925,75,26,14,
C,fast_gamma_low_gamma,ratio,svm_rbf,0.42630234759267016,0.42857142857142855,0.0625,0.7916666666666667,930,70,26,14,
C,fast_gamma_low_gamma,ratio,random_forest,0.5929346072088009,0.6071428571428572,0.2222222222222222,0.9166666666666667,930,70,26,14,
C,fast_gamma_high_gamma,ratio,svm_rbf,0.3849339252547809,0.4,0.0,0.675,935,65,26,14,
C,fast_gamma_high_gamma,ratio,random_forest,0.3575213378421934,0.35714285714285715,0.07142857142857142,0.7,935,65,26,14,
D,delta,band,svm_rbf,0.4850422169394037,0.48636363636363633,0.23990747814277225,0.7313186813186814,985,15,76,18,
D,delta,band,random_forest,0.5052582360547525,0.5098039215686274,0.26598290598290597,0.7201388888888888,985,15,76,18,
D,theta,band,svm_rbf,0.5076328068828175,0.512987012987013,0.2342857142857143,0.75,985,15,76,18,
D,theta,band,random_forest,0.5098860705564701,0.5142857142857142,0.30045112781954886,0.706862745098039,985,15,76,18,
D,beta,band,svm_rbf,0.5203788825645806,0.5205128205128204,0.2885406698564594,0.75,989,11,76,18,
D,beta,band,random_forest,0.5129026664263674,0.5181818181818182,0.3063333333333333,0.7,989,11,76,18,
D,low_gamma,band,svm_rbf,0.535557161693171,0.5368421052631579,0.29803228900255757,0.75,982,18,76,18,
D,low_gamma,band,random_forest,0.5213419961648865,0.525,0.29731968810916176,0.7214646464646465,982,18,76,18,
D,high_gamma,band,svm_rbf,0.5204225637805514,0.525,0.2711180124223602,0.75,985,15,76,18,
