mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,theta_delta,log_theta_delta,low_gamma_theta,log_low_gamma_theta,high_gamma_theta,log_high_gamma_theta,fast_gamma_theta,log_fast_gamma_theta,beta_theta,log_beta_theta
26,CTRL,Cable1,Mouse26_Cable1_CTRL_2026-03-30_13-16-59_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,30.4,measured,D,0.5545705716345773,-0.25604318004450777,0.06853758440379264,-1.164071206276016,0.03333009467056627,-1.477163452770729,0.014308412697542239,-1.844408541986832,0.13699162415720206,-0.8633059853509609
1,HF,Cable1,Mouse1_Cable1_HF_2026-02-21_12-36-13_DIFF_Ch2_minus_Ch3.npy,2026-02-21,baseline,,,31.4,baseline,A,2.333455034678727,0.36799943651362926,0.014819293288477541,-1.8291725067637554,0.004969965009774718,-2.303646668835129,0.0021814428975497815,-2.6612561508200026,0.044713766964503174,-1.349558740935298
1,HF,Cable1,Mouse1_Cable1_HF_2026-03-03_12-16-25_DIFF_Ch2_minus_Ch3.npy,2026-03-03,diet,8.0,,39.87,interpolated,A,1.9671918133261115,0.2938467083726427,0.01308635564958419,-1.8831812809998263,0.004225910226573183,-2.374079733151668,0.0018319489343207643,-2.7370866364824717,0.042415755531204115,-1.3724727927172393
1,HF,Cable1,Mouse1_Cable1_HF_2026-03-08_11-08-40_DIFF_Ch2_minus_Ch3.npy,2026-03-08,diet,13.0,,38.43,interpolated,A,3.6130511113093764,0.5578741052720407,0.012065192651445953,-1.9184657390853301,0.003917369814078882,-2.407005427524754,0.001775824149001114,-2.750600042442358,0.037739491636421846,-1.4232039542236516
1,HF,Cable1,Mouse1_Cable1_HF_2026-03-13_12-37-21_DIFF_Ch2_minus_Ch3.npy,2026-03-13,diet,18.0,,36.83,interpolated,B,2.103158833433894,0.32287207243861116,0.02405309432039395,-1.6188290457005945,0.00523274532774803,-2.2812704014050205,0.0023376591626256115,-2.631218809932752,0.07102789852393648,-1.148571034447463
1,HF,Cable1,Mouse1_Cable1_HF_2026-03-19_12-55-20_DIFF_Ch2_minus_Ch3.npy,2026-03-19,diet,24.0,,35.7,measured,B,1.9668478380464258,0.2937707627394017,0.013615823729132885,-1.8659560796126335,0.004389827901248603,-2.357552505498912,0.0022389758593328434,-2.6499505889645407,0.04152322021951376,-1.3817089733355472
1,HF,Cable1,Mouse1_Cable1_HF_2026-03-26_11-06-11_DIFF_Ch2_minus_Ch3.npy,2026-03-26,diet,31.0,,36.5,measured,D,0.4287800202264752,-0.3677654595735676,0.012802804952541708,-1.89269487082426,0.004427020050724254,-2.35388851102337,0.0019474653459589674,-2.710530261610571,0.053618345289666275,-1.2706865928644369
1,HF,Cable1,Mouse1_Cable1_HF_2026-03-31_10-10-35_DIFF_Ch2_minus_Ch3.npy,2026-03-31,recovery,,1.0,35.6,interpolated,D,2.511768948572016,0.3999796872246797,0.015516374308373838,-1.809209752267359,0.005641406933837168,-2.2486125720090873,0.00265206946464589,-2.5764151048082513,0.051857522719089486,-1.285188233712575
1,HF,Cable1,Mouse1_Cable1_HF_2026-04-02_11-07-38_DIFF_Ch2_minus_Ch3.npy,2026-04-02,recovery,,3.0,35.6,measured,A,2.142786687331261,0.330978939531822,0.013346440451316518,-1.8746345469196901,0.0050710089006074655,-2.294905627180126,0.0026750851146926575,-2.5726623952303123,0.04821272364924768,-1.3168383335153988
4,HF,Cable1,Mouse4_Cable1_HF_2026-03-05_10-11-36_DIFF_Ch2_minus_Ch3.npy,2026-03-05,diet,10.0,,39.9,measured,C,0.7616361118096281,-0.11825247272776977,0.029810988268958623,-1.5256236263611616,0.01219430997830375,-1.9138427694456572,0.005866717327610314,-2.2316048366202947,0.06426137124083312,-1.1920500114957773
